Team,Rank
Fury,1
Brute Squad,2
Molly Brown,3
Riot,3
Scandal,5
6ixers,6
Nightlock,7
Schwa,7
Ozone,9
Wildfire,9
Nemesis,11
Pop,12
Rival,13
Phoenix,14
Traffic,15
Heist,16
