Team,PointDiffSum,PointDiffAverage,PointDiffAbsSum
Brute Squad,40,6.666666667,42
Nightlock,10,1.428571429,38
Heist,-28,-4,32
Fury,35,5.833333333,35
6ixers,2,0.285714286,38
Phoenix,-26,-3.714285714,30
Riot,25,5,27
Ozone,-5,-0.714285714,27
Rival,-6,-0.857142857,34
Molly Brown,22,4.4,30
Scandal,15,2.142857143,25
Nemesis,-5,-0.714285714,29
Traffic,-19,-2.714285714,41
Wildfire,-31,-4.428571429,39
Pop,-33,-4.714285714,35
Schwa,4,0.571428571,16
