Team,PointDiffSum,PointDiffAverage,PointDiffAbsSum
Revolver,15,2.5,31
Madison Club,-31,-4.428571429,37
Sub Zero,0,0,22
Sockeye,15,3,17
DiG,-6,-0.857142857,20
Doublewide,-2,-0.285714286,24
PoNY,17,2.833333333,21
Truck Stop,8,1.142857143,28
Rhino Slam,2,0.285714286,32
Ring of Fire,7,1.4,9
Furious George,2,0.285714286,20
Machine,5,0.714285714,33
Chain Lightning,-9,-1.285714286,21
HIGH FIVE,4,0.571428571,32
Temper,-26,-3.714285714,28
Johnny Bravo,-1,-0.142857143,19
