Team,Seed
Chain Lightning,16
DiG,7
Doublewide,11
Furious George,5
High Five,13
Johnny Bravo,15
Machine,9
Madison Club,8
PoNY,3
Revolver,1
Rhino Slam,10
Ring of Fire,4
Sockeye,2
Sub Zero,12
Temper,14
Truck Stop,6
