Team,Rank
PoNY,1
Revolver,2
Sockeye,3
Ring of Fire,3
Truck Stop,5
Doublewide,6
Sub Zero,7
High Five,7
Furious George,9
Machine,9
Johnny Bravo,11
Temper,12
Rhino Slam,13
Madison Club,14
Chain Lightning,15
DiG,16
