Team,Seed
Brute Squad,1
Fury,2
Riot,3
Molly Brown,4
Scandal,5
Ozone,6
6ixers,7
Nightlock,8
Nemesis,9
Rival,10
Phoenix,11
Heist,12
Schwa,13
Traffic,14
Pop,15
Wildfire,16
